ProductName,Stars,Ratings,Current_Price,MRP
DELL Vostro Core i3 11th Gen,3.9,299,42390,44780
HP Pavilion Gaming Ryzen 5 Hexa Core AMD R5,4.0,68,57690,73856
ASUS VivoBook Ultra 14 (2021) Core i5 11th Gen,4.4,670,55990,80990
ASUS Vivobook Ultra 14 (2022) Core i3 11th Gen,4.3,222,44990,56990
acer Aspire 5 Core i5 12th Gen,0.0,0,57990,73999
acer Aspire 3 Ryzen 3 Dual Core 3250U,4.1,262,35990,44999
DELL Inspiron Core i5 11th Gen,4.3,118,69990,89489
Lenovo Ideapad Gaming 3 Ryzen 5 Hexa Core 4600H,4.5,1763,62490,63104
Lenovo IdeaPad 3 Core i3 10th Gen,4.3,8,31990,53790
ASUS TUF Gaming F15 Core i5 10th Gen,4.4,147,59990,84990
ASUS Core i5 11th Gen,0.0,0,45990,65990
acer Swift 5 Core i5 8th Gen,4.2,6,69351,87999
realme Book(Slim) Intel Evo Core i5 11th Gen,4.4,7067,59990,69999
Lenovo Core i3 10th Gen,5.0,4,38980,56800
acer Aspire 5 Core i5 11th Gen,4.5,83,60990,69999
DELL Ryzen 5 Hexa Core,0.0,0,67490,84879
Lenovo Ryzen 5 Hexa Core 5600H,0.0,0,59490,89490
DELL Core i5 11th Gen,3.5,6,62490,75325
DELL Inspiron Core i3 10th Gen,4.2,44,46400,56200
HP Pavilion Intel Core i3 11th Gen,4.3,7,54490,65628
acer Aspire 3 Core i3 11th Gen,4.2,125,39244,50000
ASUS VivoBook 15 (2022) Core i3 11th Gen,4.3,885,39990,54990
ASUS Pentium Quad Core,3.7,3184,25990,30990
Infinix X1 Slim Series Core i5 10th Gen,4.2,697,44990,59999
Lenovo Ideapad Gaming 3 Ryzen 5 Hexa Core 4600H,4.5,908,60490,85290
Lenovo Core i3 11th Gen,4.3,222,37490,49096
DELL Inspiron Pentium Quad Core,4.2,123,35500,43000
Lenovo Core i3 10th Gen,5.0,1,37890,48900
ASUS Vivobook Gaming Core i7 10th Gen,4.3,76,65990,88990
ASUS TUF GAMING A15 Ryzen 5 Hexa Core 4600H,0.0,0,65990,75990
Lenovo IdeaPad Flex 5 Ryzen 5 Hexa Core 5500U,0.0,0,63990,95090
ASUS VivoBook 15 Ryzen 3 Dual Core AMD R3,4.3,1650,26990,42990
Lenovo IdeaPad 3 Core i3 10th Gen,4.3,8,31990,53790
MSI GF63 Thin Core i5 11th Gen,4.4,2501,59990,83990
acer Ryzen 3 Dual Core 3250U,4.0,300,29990,43999
HP Pavilion Core i5 11th Gen,0.0,0,64990,87717
